"1967335622868637742	",支出,用餐,792,2019-6-7 18:44,,
"1967333795074839878	",支出,用餐,590,2019-6-7 18:41,,
"1967123355543704865	",支出,用餐,453,2019-6-7 11:42,,
"1967123307963520890	",支出,用餐,108,2019-6-7 11:42,,
"1966595855235324695	",支出,用餐,590,2019-6-6 18:14,,
"1966574723551630697	",支出,用餐,780,2019-6-6 17:32,,
"1966347440928756637	",支出,用餐,110,2019-6-6 10:01,,
"1965869252524020556	",支出,用餐,411,2019-6-5 18:11,,
"1965674696327206482	",支出,用餐,61,2019-6-5 11:44,,
"1965658955725051057	",支出,用餐,108,2019-6-5 11:13,,
"1965145061084534677	",支出,用餐,590,2019-6-4 18:12,,
"1964950967989212296	",支出,用餐,561,2019-6-4 11:46,,
"1964845996178313287	",支出,用餐,108,2019-6-4 8:18,,
"1964475232161799351	",支出,用餐,3013,2019-6-3 20:01,,
"1964172529443444120	",支出,用餐,108,2019-6-3 10:00,,
"1964121419416508368	",支出,用餐,680,2019-6-3 8:18,,
"1963782635533539254	",支出,丽人,610,2019-6-2 21:05,唇膏,
"1963760823248523743	",支出,旅游,2967,2019-6-2 20:22,大江户温泉,
"1963053223099929715	",支出,用餐,590,2019-6-1 20:56,,
"1962875262832907481	",支出,用餐,890,2019-6-1 15:02,,
"1962826537796278873	",支出,酒水,160,2019-6-1 13:25,,
"1962800801161058310	",支出,旅游,105,2019-6-1 12:34,浅草寺,
"1962754694091543068	",支出,零食,350,2019-6-1 11:03,,
"1962754643508238484	",支出,交通,1000,2019-6-1 11:03,,
"1962247177150306126	",支出,用餐,590,2019-5-31 18:14,,
"1962232960355570797	",支出,交通,310,2019-5-31 17:46,,
"1961947015861410284	",支出,用餐,108,2019-5-31 8:18,,
"1961924748905455256	",支出,交通,310,2019-5-31 7:34,,
"1961603133776761324	",支出,用餐,550,2019-5-30 20:55,,
"1961603088738326419	",支出,用餐,780,2019-5-30 20:55,,
"1961222811419581997	",支出,酒水,152,2019-5-30 8:19,,
"1961222551389510541	",支出,用餐,130,2019-5-30 8:19,,
"1960779793243738901	",支出,用餐,570,2019-5-29 17:39,,
"1960769748506418141	",支出,人情,300,2019-5-29 17:19,办住民票,
"1960705397808339443	",支出,交通,1000,2019-5-29 15:11,,
"1960509219883881577	",支出,用餐,108,2019-5-29 8:41,,
"1960475022574133086	",支出,人情,1000,2019-5-29 7:33,欢迎会聚餐,
"1959922622494838811	",支出,丽人,730,2019-5-28 13:16,芦荟胶,
"1959922503796037932	",支出,用餐,680,2019-5-28 13:16,,
"1959922463715269879	",支出,用餐,108,2019-5-28 13:16,,
"1959348291431733053	",支出,用餐,1486,2019-5-27 18:15,,
"1960477919068198556	",支出,学习,202,2019-5-27 7:39,,
"1960477191071243522	",支出,通讯,3652,2019-5-27 7:38,,
"1958591621088845383	",支出,零食,274,2019-5-26 17:11,,
"1957960336083423339	",支出,用餐,735,2019-5-25 20:17,,
"1957945899112897822	",支出,用餐,570,2019-5-25 19:48,,
"1957945757076984470	",支出,酒水,110,2019-5-25 19:48,,
"1957180203315663185	",支出,零食,653,2019-5-24 18:27,,
"1957166687397517297	",支出,用餐,590,2019-5-24 18:00,,
"1957166635421701906	",支出,用餐,680,2019-5-24 18:00,,
"1957050634436779705	",收入,工资,175589,2019-5-24 14:10,,
"1956870746601856613	",支出,用餐,130,2019-5-24 8:12,,
"1956146513278047347	",支出,用餐,130,2019-5-23 8:13,,
"1956115348718523101	",支出,用餐,634,2019-5-23 7:12,,
"1956115164169148555	",支出,用餐,680,2019-5-23 7:11,,
"1955576851775527665	",支出,用餐,680,2019-5-22 13:22,,
"1955421997115547093	",支出,用餐,130,2019-5-22 8:14,,
"1955421619225533946	",支出,用餐,590,2019-5-22 8:13,,
"1955032652592354405	",支出,用餐,1024,2019-5-21 19:20,,
"1954795942105225434	",支出,用餐,680,2019-5-21 11:30,,
"1954698885935830820	",支出,用餐,130,2019-5-21 8:17,,
"1954288173237311422	",支出,用餐,590,2019-5-20 18:41,,
"1954087014753016512	",支出,用餐,680,2019-5-20 12:02,,
"1953975700567268233	",支出,用餐,135,2019-5-20 8:20,,
"1952113439699539822	",支出,用餐,1718,2019-5-17 18:40,,
"1951983409883421914	",支出,用餐,680,2019-5-17 14:22,,
"1951799635455417854	",支出,用餐,135,2019-5-17 8:17,,
"1951393539829961958	",支出,用餐,590,2019-5-16 18:50,,
"1951195927478706094	",支出,用餐,680,2019-5-16 12:18,,
"1951081604769029246	",支出,交通,1000,2019-5-16 8:30,,
"1950628944483881082	",支出,用餐,780,2019-5-15 17:31,,
"1949944512512955217	",支出,用餐,680,2019-5-14 18:51,,
"1950669479730910774	",支出,用餐,3600,2019-5-13 18:52,,
"1947044914660284781	",支出,用餐,2720,2019-5-10 18:50,,
"1944845111264187519	",支出,瑜伽,8800,2019-5-7 18:00,,
